majority_entry,population
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,26500000
Minor,26500000
Minor,26500000
Minor,26500000
Minor,26500000
Minor,26500000
Minor,26500000
Minor,26500000
Minor,26500000
Minor,26500000
Minor,26500000
Minor,26500000
Minor,26500000
Minor,26500000
Minor,26500000
Minor,26500000
Minor,26500000
Minor,26500000
Minor,26500000
Minor,26500000
Minor,26500000
Minor,26500000
Minor,26500000
Minor,26500000
Minor,26500000
Minor,26500000
Minor,26500000
Minor,20900000
Minor,20900000
Minor,20900000
Minor,20900000
Minor,20900000
Minor,20900000
Minor,20900000
Minor,20900000
Minor,20900000
Minor,20900000
Minor,20900000
Minor,20900000
Minor,20900000
Minor,20900000
Minor,143000000
Minor,143000000
Minor,143000000
Minor,143000000
Minor,143000000
Minor,143000000
Minor,143000000
Minor,143000000
Minor,143000000
Minor,143000000
Minor,143000000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,23100000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,7720000
Minor,7720000
Minor,7720000
Minor,7720000
Minor,7720000
Minor,7720000
Minor,7720000
Minor,7720000
Minor,7720000
Minor,7720000
Minor,7720000
Minor,7720000
Minor,7720000
Minor,7720000
Minor,7720000
Minor,7720000
Minor,7720000
Minor,7720000
Minor,7720000
Minor,7720000
Minor,7720000
Minor,7720000
Minor,7720000
Minor,7720000
Minor,7720000
Minor,7720000
Minor,7720000
Minor,27100000
Minor,27100000
Minor,27100000
Minor,27100000
Minor,27100000
Minor,27100000
Minor,27100000
Minor,27100000
Minor,27100000
Minor,27100000
Minor,27100000
Minor,27100000
Minor,27100000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,29600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
