recruiter_relation_intimate_partner,recruiter_relation_friend,recruiter_relation_family,recruiter_relation_other,gni_per_capita
0.0,0.0,1.0,0.0,905
0.0,0.0,1.0,0.0,905
0.0,0.0,0.0,1.0,905
0.0,0.0,1.0,0.0,905
0.0,0.0,1.0,0.0,905
0.0,0.0,0.0,1.0,905
0.0,0.0,1.0,0.0,905
0.0,0.0,1.0,0.0,905
0.0,0.0,1.0,0.0,905
0.0,0.0,1.0,0.0,905
0.0,0.0,1.0,0.0,905
0.0,0.0,1.0,0.0,905
0.0,0.0,1.0,0.0,905
0.0,0.0,1.0,0.0,905
0.0,0.0,0.0,1.0,905
0.0,0.0,1.0,0.0,905
0.0,0.0,1.0,0.0,905
0.0,0.0,0.0,1.0,905
0.0,0.0,1.0,0.0,905
0.0,0.0,0.0,1.0,4000
0.0,1.0,0.0,0.0,4000
0.0,0.0,0.0,1.0,3930
0.0,1.0,0.0,0.0,3930
0.0,0.0,0.0,1.0,3930
0.0,0.0,0.0,1.0,3930
0.0,0.0,0.0,1.0,3930
0.0,0.0,0.0,1.0,3930
0.0,0.0,0.0,1.0,3930
